iter	Logloss
0	0.6429290447
1	0.6121066018
2	0.5916129012
3	0.5798664819
4	0.5715420223
5	0.5641265625
6	0.5601814973
7	0.5558051809
8	0.5517828115
9	0.5488062199
10	0.5465429906
11	0.5458174792
12	0.5438944647
13	0.5430717442
14	0.5420514467
15	0.541896283
16	0.5413566893
17	0.5408861475
18	0.5403232884
19	0.5398141207
20	0.5384416139
21	0.537097391
22	0.5370580586
23	0.5366670874
24	0.536233327
25	0.5358568101
26	0.5356627878
27	0.535294157
28	0.5351320376
29	0.5350253618
30	0.5346658066
31	0.5346115307
32	0.5345106824
33	0.5341889204
34	0.5340581414
35	0.5339996175
36	0.5339888896
37	0.5339538461
38	0.5337161225
39	0.5336534375
40	0.5327392854
41	0.5323935094
42	0.5322144613
43	0.5321747163
44	0.5319130196
45	0.5311949294
46	0.5311871525
47	0.5311403016
48	0.5311296469
49	0.5310354592
50	0.530240404
51	0.5294814905
52	0.5294220942
53	0.5294106436
54	0.5290992763
55	0.5290642897
56	0.5290642897
57	0.5289097805
58	0.5286290695
59	0.528565468
60	0.5285536429
61	0.5285395299
62	0.5284996984
63	0.5283607731
64	0.5282970056
65	0.5282397431
66	0.5282380306
67	0.5281400865
68	0.5281110894
69	0.5280627445
70	0.5277117285
71	0.5274072537
72	0.5272963916
73	0.5272892996
74	0.5272572163
75	0.5272280495
76	0.526132299
77	0.526125443
78	0.5256880184
79	0.5251796822
80	0.5241377272
81	0.5239988263
82	0.5239192098
83	0.5238298376
84	0.5232840997
85	0.5232528755
86	0.5221858998
87	0.5220808247
88	0.5207457827
89	0.5196948075
90	0.51930697
91	0.5183230188
92	0.5177498654
93	0.5174477504
94	0.5173765015
95	0.5172963379
96	0.5172407893
97	0.5167862241
98	0.5165971993
99	0.5161888908
100	0.5160345676
101	0.5159833877
102	0.5158578302
103	0.5156059146
104	0.5151696161
105	0.514888073
106	0.5148290313
107	0.5144144647
108	0.5136390483
109	0.5132407425
110	0.5127413279
111	0.5124056295
112	0.5122852077
113	0.5122275484
114	0.5121965283
115	0.511747177
116	0.5117392655
117	0.5107403729
118	0.5105667544
119	0.510435388
120	0.5104299352
121	0.5103667564
122	0.5100737241
123	0.5100709452
124	0.5098478072
125	0.5098162684
126	0.5094721529
127	0.5094511366
128	0.5092430894
129	0.5089966933
130	0.5087713876
131	0.5086749044
132	0.5085351593
133	0.5080798233
134	0.5077288165
135	0.5077193786
136	0.5075567552
137	0.5073753017
138	0.5072404887
139	0.5071484795
140	0.507091012
141	0.5066663877
142	0.506048927
143	0.5060090981
144	0.5059047854
145	0.5054020822
146	0.5052975598
147	0.505248544
148	0.5048902554
149	0.5043195704
150	0.5042857566
151	0.5041054905
152	0.5040793718
153	0.5038744483
154	0.503352721
155	0.503307477
156	0.5025494881
157	0.5025031261
158	0.5024719747
159	0.5024167827
160	0.5023735789
161	0.5023238119
162	0.5022173285
163	0.5021981508
164	0.501900705
165	0.501457066
166	0.5014408321
167	0.5013812378
168	0.5012020854
169	0.5006952104
170	0.5005721011
171	0.5005693996
172	0.5005570312
173	0.4997023081
174	0.4993017935
175	0.4992713769
176	0.4992700951
177	0.4988763591
178	0.498813138
179	0.4986754397
180	0.4986602457
181	0.4983953429
182	0.4983583746
183	0.4983020909
184	0.4982250266
185	0.497947248
186	0.4978308684
187	0.4978015801
188	0.4976471391
189	0.4971511025
190	0.4971340113
191	0.4970846749
192	0.4970399672
193	0.4969623935
194	0.4969009372
195	0.4968228501
196	0.4965775417
197	0.496362637
198	0.4963139604
199	0.4962810411
200	0.4958659488
201	0.4952425552
202	0.495218596
203	0.4952033633
204	0.4951845265
205	0.4951087485
206	0.4948770169
207	0.4948638522
208	0.4938097434
209	0.4937988072
210	0.4936967573
211	0.4932730869
212	0.4932015297
213	0.4931842026
214	0.4931778141
215	0.4931185366
216	0.4930041232
217	0.4926547512
218	0.492642599
219	0.4925880889
220	0.4925474076
221	0.4925409202
222	0.4921833574
223	0.4919409459
224	0.4913009574
225	0.4911681381
226	0.4911586296
227	0.4911153205
228	0.4910949578
229	0.4910866182
