"Raw Weather Data for Austin, TX",,
,Average Daily Temperature,
Date,(degrees),Station Used
11/12/17,68.6,AUSTIN-BERGSTROM INT
11/13/17,69.8,AUSTIN-BERGSTROM INT
11/14/17,67.3,AUSTIN-BERGSTROM INT
11/15/17,69.2,AUSTIN-BERGSTROM INT
11/16/17,69.9,AUSTIN-BERGSTROM INT
11/17/17,73.8,AUSTIN-BERGSTROM INT
11/18/17,73.7,AUSTIN-BERGSTROM INT
11/19/17,56.1,AUSTIN-BERGSTROM INT
11/20/17,49.3,AUSTIN-BERGSTROM INT
11/27/17,57.4,AUSTIN-BERGSTROM INT
11/28/17,60.4,AUSTIN-BERGSTROM INT
11/29/17,60.3,AUSTIN-BERGSTROM INT
11/30/17,54.4,AUSTIN-BERGSTROM INT
12/1/17,59,AUSTIN-BERGSTROM INT
12/2/17,59,AUSTIN-BERGSTROM INT
12/3/17,64,AUSTIN-BERGSTROM INT
12/4/17,72.6,AUSTIN-BERGSTROM INT
12/5/17,63.8,AUSTIN-BERGSTROM INT
12/6/17,45.2,AUSTIN-BERGSTROM INT
12/7/17,42.5,AUSTIN-BERGSTROM INT
12/8/17,35.6,AUSTIN-BERGSTROM INT
12/9/17,44,AUSTIN-BERGSTROM INT
12/10/17,46.2,AUSTIN-BERGSTROM INT
12/11/17,51.3,AUSTIN-BERGSTROM INT
12/12/17,54.7,AUSTIN-BERGSTROM INT
12/13/17,43.5,AUSTIN-BERGSTROM INT
12/14/17,49,AUSTIN-BERGSTROM INT
12/15/17,53.1,AUSTIN-BERGSTROM INT
12/16/17,44.2,AUSTIN-BERGSTROM INT
12/17/17,47.7,AUSTIN-BERGSTROM INT
12/18/17,51.7,AUSTIN-BERGSTROM INT
12/19/17,61.2,AUSTIN-BERGSTROM INT
12/20/17,61.3,AUSTIN-BERGSTROM INT
12/21/17,56.7,AUSTIN-BERGSTROM INT
12/22/17,65,AUSTIN-BERGSTROM INT
12/23/17,44.7,AUSTIN-BERGSTROM INT
12/24/17,42.1,AUSTIN-BERGSTROM INT
12/25/17,40.6,AUSTIN-BERGSTROM INT
12/26/17,48.5,AUSTIN-BERGSTROM INT
12/27/17,40.6,AUSTIN-BERGSTROM INT
12/28/17,40.4,AUSTIN-BERGSTROM INT
12/29/17,43.7,AUSTIN-BERGSTROM INT
12/30/17,51.7,AUSTIN-BERGSTROM INT
5/27/17,85.3,AUSTIN-BERGSTROM INT
5/28/17,83.6,AUSTIN-BERGSTROM INT
5/29/17,75.2,AUSTIN-BERGSTROM INT
5/30/17,78,AUSTIN-BERGSTROM INT
6/1/17,74.8,AUSTIN-BERGSTROM INT
6/2/17,81.1,AUSTIN-BERGSTROM INT
6/3/17,82,AUSTIN-BERGSTROM INT
6/4/17,75.5,AUSTIN-BERGSTROM INT
6/5/17,77.1,AUSTIN-BERGSTROM INT
6/6/17,77.8,AUSTIN-BERGSTROM INT
6/7/17,80.7,AUSTIN-BERGSTROM INT
6/8/17,80.9,AUSTIN-BERGSTROM INT
6/9/17,81.1,AUSTIN-BERGSTROM INT
6/10/17,80.1,AUSTIN-BERGSTROM INT
6/11/17,81.7,AUSTIN-BERGSTROM INT
6/12/17,82.6,AUSTIN-BERGSTROM INT
6/13/17,84.4,AUSTIN-BERGSTROM INT
6/14/17,85.5,AUSTIN-BERGSTROM INT
6/15/17,85.5,AUSTIN-BERGSTROM INT
6/16/17,86.1,AUSTIN-BERGSTROM INT
6/17/17,87.1,AUSTIN-BERGSTROM INT
6/21/17,85.3,AUSTIN-BERGSTROM INT
6/22/17,85.3,AUSTIN-BERGSTROM INT
6/23/17,88.8,AUSTIN-BERGSTROM INT
6/24/17,83.2,AUSTIN-BERGSTROM INT
6/25/17,80.6,AUSTIN-BERGSTROM INT
6/26/17,80.5,AUSTIN-BERGSTROM INT
6/27/17,80.1,AUSTIN-BERGSTROM INT
6/28/17,78.7,AUSTIN-BERGSTROM INT
6/29/17,84,AUSTIN-BERGSTROM INT
6/30/17,87.6,AUSTIN-BERGSTROM INT
7/1/17,87.1,AUSTIN-BERGSTROM INT
7/2/17,86.5,AUSTIN-BERGSTROM INT
7/3/17,86.1,AUSTIN-BERGSTROM INT
7/4/17,87.2,AUSTIN-BERGSTROM INT
7/5/17,86.2,AUSTIN-BERGSTROM INT
7/6/17,86.5,AUSTIN-BERGSTROM INT
7/7/17,82.6,AUSTIN-BERGSTROM INT
7/8/17,83.1,AUSTIN-BERGSTROM INT
7/9/17,86.6,AUSTIN-BERGSTROM INT
7/10/17,85.7,AUSTIN-BERGSTROM INT
7/11/17,86,AUSTIN-BERGSTROM INT
7/12/17,85.2,AUSTIN-BERGSTROM INT
7/13/17,85.1,AUSTIN-BERGSTROM INT
7/14/17,85.3,AUSTIN-BERGSTROM INT
7/15/17,86.5,AUSTIN-BERGSTROM INT
7/16/17,80.1,AUSTIN-BERGSTROM INT
7/17/17,84.7,AUSTIN-BERGSTROM INT
7/18/17,85.4,AUSTIN-BERGSTROM INT
7/19/17,86.5,AUSTIN-BERGSTROM INT
7/20/17,87.5,AUSTIN-BERGSTROM INT
7/21/17,88.2,AUSTIN-BERGSTROM INT
7/22/17,88.4,AUSTIN-BERGSTROM INT
7/23/17,87.8,AUSTIN-BERGSTROM INT
7/24/17,85.4,AUSTIN-BERGSTROM INT
7/25/17,86,AUSTIN-BERGSTROM INT
7/26/17,88.2,AUSTIN-BERGSTROM INT
7/27/17,85.5,AUSTIN-BERGSTROM INT
7/28/17,88.2,AUSTIN-BERGSTROM INT
7/29/17,89.8,AUSTIN-BERGSTROM INT
7/30/17,90.6,AUSTIN-BERGSTROM INT
7/31/17,88.2,AUSTIN-BERGSTROM INT
8/1/17,84.7,AUSTIN-BERGSTROM INT
8/2/17,84.9,AUSTIN-BERGSTROM INT
8/4/17,84.3,AUSTIN-BERGSTROM INT
8/5/17,86.5,AUSTIN-BERGSTROM INT
8/6/17,88,AUSTIN-BERGSTROM INT
8/7/17,79.9,AUSTIN-BERGSTROM INT
8/8/17,81,AUSTIN-BERGSTROM INT
8/9/17,83.7,AUSTIN-BERGSTROM INT
8/10/17,85,AUSTIN-BERGSTROM INT
8/11/17,86.3,AUSTIN-BERGSTROM INT
8/12/17,87.3,AUSTIN-BERGSTROM INT
8/13/17,87.3,AUSTIN-BERGSTROM INT
8/14/17,87.2,AUSTIN-BERGSTROM INT
8/15/17,86.7,AUSTIN-BERGSTROM INT
8/16/17,88,AUSTIN-BERGSTROM INT
8/17/17,88.5,AUSTIN-BERGSTROM INT
8/18/17,87.5,AUSTIN-BERGSTROM INT
8/19/17,87.2,AUSTIN-BERGSTROM INT
8/20/17,87.5,AUSTIN-BERGSTROM INT
8/21/17,86.6,AUSTIN-BERGSTROM INT
8/22/17,85.9,AUSTIN-BERGSTROM INT
8/23/17,85.7,AUSTIN-BERGSTROM INT
8/24/17,82.4,AUSTIN-BERGSTROM INT
8/25/17,81.6,AUSTIN-BERGSTROM INT
8/26/17,77.5,AUSTIN-BERGSTROM INT
8/27/17,74.1,AUSTIN-BERGSTROM INT
8/28/17,74.7,AUSTIN-BERGSTROM INT
8/31/17,78.5,AUSTIN-BERGSTROM INT
9/1/17,79.2,AUSTIN-BERGSTROM INT
9/2/17,79.1,AUSTIN-BERGSTROM INT
9/3/17,79.1,AUSTIN-BERGSTROM INT
9/4/17,79.1,AUSTIN-BERGSTROM INT
5/23/17,71.5,AUSTIN-BERGSTROM INT
5/24/17,69.5,AUSTIN-BERGSTROM INT
5/25/17,75,AUSTIN-BERGSTROM INT
5/26/17,82.2,AUSTIN-BERGSTROM INT
5/31/17,76.6,AUSTIN-BERGSTROM INT
6/18/17,87.2,AUSTIN-BERGSTROM INT
6/19/17,83.2,AUSTIN-BERGSTROM INT
6/20/17,84.6,AUSTIN-BERGSTROM INT
12/31/17,46.9,AUSTIN-BERGSTROM INT
1/7/18,58.8,AUSTIN-BERGSTROM INT
1/8/18,59.6,AUSTIN-BERGSTROM INT
1/28/18,59.6,AUSTIN-BERGSTROM INT
1/30/18,44.4,AUSTIN-BERGSTROM INT
1/31/18,51.5,AUSTIN-BERGSTROM INT
2/1/18,60.4,AUSTIN-BERGSTROM INT
2/2/18,53,AUSTIN-BERGSTROM INT
2/3/18,50.3,AUSTIN-BERGSTROM INT
2/4/18,51.3,AUSTIN-BERGSTROM INT
2/5/18,47,AUSTIN-BERGSTROM INT
2/6/18,50.2,AUSTIN-BERGSTROM INT
2/7/18,41.1,AUSTIN-BERGSTROM INT
2/8/18,42.5,AUSTIN-BERGSTROM INT
2/9/18,55.5,AUSTIN-BERGSTROM INT
2/10/18,56.4,AUSTIN-BERGSTROM INT
2/11/18,37.2,AUSTIN-BERGSTROM INT
2/12/18,34.9,AUSTIN-BERGSTROM INT
2/13/18,40.3,AUSTIN-BERGSTROM INT
2/14/18,50.6,AUSTIN-BERGSTROM INT
2/15/18,66.8,AUSTIN-BERGSTROM INT
2/16/18,66.9,AUSTIN-BERGSTROM INT
2/17/18,57.8,AUSTIN-BERGSTROM INT
2/18/18,55.2,AUSTIN-BERGSTROM INT
2/19/18,72.6,AUSTIN-BERGSTROM INT
2/20/18,72.1,AUSTIN-BERGSTROM INT
2/25/18,61.1,AUSTIN-BERGSTROM INT
2/26/18,54.8,AUSTIN-BERGSTROM INT
2/27/18,63.9,AUSTIN-BERGSTROM INT
2/28/18,72.4,AUSTIN-BERGSTROM INT
3/1/18,67.7,AUSTIN-BERGSTROM INT
3/2/18,57.6,AUSTIN-BERGSTROM INT
3/3/18,60.1,AUSTIN-BERGSTROM INT
3/4/18,68.1,AUSTIN-BERGSTROM INT
3/5/18,72.9,AUSTIN-BERGSTROM INT
3/22/18,63.3,AUSTIN-BERGSTROM INT
1/1/18,28,AUSTIN-BERGSTROM INT
1/2/18,29.5,AUSTIN-BERGSTROM INT
1/3/18,30.5,AUSTIN-BERGSTROM INT
1/4/18,36.1,AUSTIN-BERGSTROM INT
1/5/18,48.6,AUSTIN-BERGSTROM INT
1/6/18,45.5,AUSTIN-BERGSTROM INT
1/9/18,47.9,AUSTIN-BERGSTROM INT
1/10/18,52.9,AUSTIN-BERGSTROM INT
1/11/18,60.9,AUSTIN-BERGSTROM INT
1/12/18,44.6,AUSTIN-BERGSTROM INT
1/13/18,38.5,AUSTIN-BERGSTROM INT
1/14/18,38,AUSTIN-BERGSTROM INT
1/15/18,45.1,AUSTIN-BERGSTROM INT
1/16/18,35.9,AUSTIN-BERGSTROM INT
1/17/18,25.7,AUSTIN-BERGSTROM INT
1/18/18,32,AUSTIN-BERGSTROM INT
1/19/18,43.6,AUSTIN-BERGSTROM INT
1/20/18,54.4,AUSTIN-BERGSTROM INT
1/21/18,62.8,AUSTIN-BERGSTROM INT
1/22/18,58.9,AUSTIN-BERGSTROM INT
1/23/18,46,AUSTIN-BERGSTROM INT
1/24/18,43.3,AUSTIN-BERGSTROM INT
1/25/18,42.2,AUSTIN-BERGSTROM INT
1/26/18,56.5,AUSTIN-BERGSTROM INT
1/27/18,64.2,AUSTIN-BERGSTROM INT
1/29/18,50.3,AUSTIN-BERGSTROM INT
2/21/18,54.6,AUSTIN-BERGSTROM INT
2/22/18,40.5,AUSTIN-BERGSTROM INT
2/23/18,47.4,AUSTIN-BERGSTROM INT
2/24/18,67.8,AUSTIN-BERGSTROM INT
3/6/18,63.5,AUSTIN-BERGSTROM INT
3/7/18,55.4,AUSTIN-BERGSTROM INT
3/8/18,53.8,AUSTIN-BERGSTROM INT
3/9/18,59.5,AUSTIN-BERGSTROM INT
3/10/18,72.1,AUSTIN-BERGSTROM INT
3/11/18,69.8,AUSTIN-BERGSTROM INT
3/12/18,56.5,AUSTIN-BERGSTROM INT
3/13/18,52,AUSTIN-BERGSTROM INT
3/14/18,52.2,AUSTIN-BERGSTROM INT
3/15/18,58.4,AUSTIN-BERGSTROM INT
3/16/18,71.1,AUSTIN-BERGSTROM INT
3/17/18,72.2,AUSTIN-BERGSTROM INT
3/18/18,72.4,AUSTIN-BERGSTROM INT
3/19/18,71.9,AUSTIN-BERGSTROM INT
3/20/18,62.6,AUSTIN-BERGSTROM INT
3/21/18,56.7,AUSTIN-BERGSTROM INT
3/23/18,67.5,AUSTIN-BERGSTROM INT
3/24/18,72.9,AUSTIN-BERGSTROM INT
3/25/18,72.5,AUSTIN-BERGSTROM INT
3/26/18,74.6,AUSTIN-BERGSTROM INT
3/27/18,74.8,AUSTIN-BERGSTROM INT
3/28/18,63.9,AUSTIN-BERGSTROM INT
3/29/18,67.3,AUSTIN-BERGSTROM INT
3/30/18,65.6,AUSTIN-BERGSTROM INT
3/31/18,65.8,AUSTIN-BERGSTROM INT
4/1/18,71.4,AUSTIN-BERGSTROM INT
4/2/18,71.9,AUSTIN-BERGSTROM INT
4/3/18,74.3,AUSTIN-BERGSTROM INT
4/4/18,62.4,AUSTIN-BERGSTROM INT
4/5/18,64.2,AUSTIN-BERGSTROM INT
4/6/18,75.3,AUSTIN-BERGSTROM INT
4/7/18,56.9,AUSTIN-BERGSTROM INT
4/8/18,47,AUSTIN-BERGSTROM INT
4/9/18,58.2,AUSTIN-BERGSTROM INT
4/10/18,61.9,AUSTIN-BERGSTROM INT
4/11/18,60.8,AUSTIN-BERGSTROM INT
4/12/18,70.2,AUSTIN-BERGSTROM INT
4/13/18,75.4,AUSTIN-BERGSTROM INT
4/14/18,65.4,AUSTIN-BERGSTROM INT
4/15/18,56.5,AUSTIN-BERGSTROM INT
4/16/18,59.7,AUSTIN-BERGSTROM INT
4/17/18,68.8,AUSTIN-BERGSTROM INT
4/18/18,71.9,AUSTIN-BERGSTROM INT
4/19/18,64.1,AUSTIN-BERGSTROM INT
4/20/18,60,AUSTIN-BERGSTROM INT
4/21/18,62.9,AUSTIN-BERGSTROM INT
4/22/18,64.4,AUSTIN-BERGSTROM INT
4/23/18,64.9,AUSTIN-BERGSTROM INT
4/24/18,67.5,AUSTIN-BERGSTROM INT
4/25/18,68.3,AUSTIN-BERGSTROM INT
4/26/18,61,AUSTIN-BERGSTROM INT
4/27/18,64.4,AUSTIN-BERGSTROM INT
4/28/18,67.6,AUSTIN-BERGSTROM INT
4/29/18,68.5,AUSTIN-BERGSTROM INT
4/30/18,69.1,AUSTIN-BERGSTROM INT
5/1/18,73.3,AUSTIN-BERGSTROM INT
5/2/18,77.5,AUSTIN-BERGSTROM INT
5/3/18,79.2,AUSTIN-BERGSTROM INT
5/4/18,71.9,AUSTIN-BERGSTROM INT
5/5/18,70.3,AUSTIN-BERGSTROM INT
5/6/18,71.2,AUSTIN-BERGSTROM INT
5/7/18,71.9,AUSTIN-BERGSTROM INT
5/8/18,74.5,AUSTIN-BERGSTROM INT
5/9/18,74.2,AUSTIN-BERGSTROM INT
5/10/18,74.7,AUSTIN-BERGSTROM INT
5/11/18,78.6,AUSTIN-BERGSTROM INT
5/12/18,80.4,AUSTIN-BERGSTROM INT
5/13/18,80.3,AUSTIN-BERGSTROM INT
5/14/18,80.7,AUSTIN-BERGSTROM INT
5/15/18,80.8,AUSTIN-BERGSTROM INT
5/16/18,80.4,AUSTIN-BERGSTROM INT
5/17/18,81.8,AUSTIN-BERGSTROM INT
5/18/18,82.2,AUSTIN-BERGSTROM INT
5/19/18,82,AUSTIN-BERGSTROM INT
5/20/18,77.7,AUSTIN-BERGSTROM INT
5/21/18,74.2,AUSTIN-BERGSTROM INT
5/22/18,76.8,AUSTIN-BERGSTROM INT
5/23/18,77.3,AUSTIN-BERGSTROM INT
5/24/18,78.7,AUSTIN-BERGSTROM INT
5/25/18,82.2,AUSTIN-BERGSTROM INT
5/26/18,83.5,AUSTIN-BERGSTROM INT
5/27/18,84.4,AUSTIN-BERGSTROM INT
5/28/18,83.6,AUSTIN-BERGSTROM INT
5/29/18,82.9,AUSTIN-BERGSTROM INT
5/30/18,83.5,AUSTIN-BERGSTROM INT
5/31/18,84.4,AUSTIN-BERGSTROM INT
6/1/18,85.4,AUSTIN-BERGSTROM INT
6/2/18,86.7,AUSTIN-BERGSTROM INT
6/3/18,86.5,AUSTIN-BERGSTROM INT
6/4/18,82.6,AUSTIN-BERGSTROM INT
6/5/18,84.3,AUSTIN-BERGSTROM INT
6/6/18,87,AUSTIN-BERGSTROM INT
6/7/18,85.7,AUSTIN-BERGSTROM INT
6/8/18,84.4,AUSTIN-BERGSTROM INT
6/9/18,83.3,AUSTIN-BERGSTROM INT
6/10/18,84.6,AUSTIN-BERGSTROM INT
6/11/18,86.2,AUSTIN-BERGSTROM INT
6/12/18,86.4,AUSTIN-BERGSTROM INT
6/13/18,85.9,AUSTIN-BERGSTROM INT
6/14/18,84.7,AUSTIN-BERGSTROM INT
6/15/18,83.7,AUSTIN-BERGSTROM INT
6/16/18,82.5,AUSTIN-BERGSTROM INT
6/17/18,81.9,AUSTIN-BERGSTROM INT
6/18/18,82.3,AUSTIN-BERGSTROM INT
6/19/18,77,AUSTIN-BERGSTROM INT
6/20/18,77.6,AUSTIN-BERGSTROM INT
6/21/18,80.9,AUSTIN-BERGSTROM INT
6/22/18,85.3,AUSTIN-BERGSTROM INT
6/23/18,86.6,AUSTIN-BERGSTROM INT
6/24/18,86.6,AUSTIN-BERGSTROM INT
6/25/18,85,AUSTIN-BERGSTROM INT
6/26/18,86,AUSTIN-BERGSTROM INT
6/27/18,86,AUSTIN-BERGSTROM INT
6/28/18,86.2,AUSTIN-BERGSTROM INT
6/29/18,86.8,AUSTIN-BERGSTROM INT
6/30/18,87.2,AUSTIN-BERGSTROM INT
7/1/18,86.9,AUSTIN-BERGSTROM INT
7/2/18,86.5,AUSTIN-BERGSTROM INT
7/3/18,87.2,AUSTIN-BERGSTROM INT
7/4/18,83.4,AUSTIN-BERGSTROM INT
7/5/18,78.5,AUSTIN-BERGSTROM INT
7/6/18,84.3,AUSTIN-BERGSTROM INT
7/7/18,81.8,AUSTIN-BERGSTROM INT
7/8/18,80.4,AUSTIN-BERGSTROM INT
7/9/18,77.7,AUSTIN-BERGSTROM INT
7/10/18,79.1,AUSTIN-BERGSTROM INT
7/11/18,84.3,AUSTIN-BERGSTROM INT
7/12/18,84.4,AUSTIN-BERGSTROM INT
7/13/18,84.8,AUSTIN-BERGSTROM INT
7/14/18,85.3,AUSTIN-BERGSTROM INT
7/15/18,85.6,AUSTIN-BERGSTROM INT
7/16/18,85.3,AUSTIN-BERGSTROM INT
7/17/18,85.2,AUSTIN-BERGSTROM INT
7/18/18,87.3,AUSTIN-BERGSTROM INT
7/19/18,87.9,AUSTIN-BERGSTROM INT
7/20/18,88.3,AUSTIN-BERGSTROM INT
7/21/18,87.5,AUSTIN-BERGSTROM INT
7/22/18,89.4,AUSTIN-BERGSTROM INT
7/23/18,90.7,AUSTIN-BERGSTROM INT
7/24/18,92.3,AUSTIN-BERGSTROM INT
7/25/18,87.9,AUSTIN-BERGSTROM INT
7/26/18,86.8,AUSTIN-BERGSTROM INT
7/27/18,86.8,AUSTIN-BERGSTROM INT
7/28/18,85.8,AUSTIN-BERGSTROM INT
7/29/18,88.2,AUSTIN-BERGSTROM INT
7/30/18,88.9,AUSTIN-BERGSTROM INT
7/31/18,87.6,AUSTIN-BERGSTROM INT
8/1/18,84.1,AUSTIN-BERGSTROM INT
8/2/18,81.3,AUSTIN-BERGSTROM INT
8/3/18,84.5,AUSTIN-BERGSTROM INT
8/4/18,83.5,AUSTIN-BERGSTROM INT
8/5/18,84.7,AUSTIN-BERGSTROM INT
8/6/18,83.5,AUSTIN-BERGSTROM INT
8/7/18,84.7,AUSTIN-BERGSTROM INT
8/8/18,87.3,AUSTIN-BERGSTROM INT
8/9/18,85.7,AUSTIN-BERGSTROM INT
8/10/18,86,AUSTIN-BERGSTROM INT
8/11/18,84.7,AUSTIN-BERGSTROM INT
8/12/18,79.6,AUSTIN-BERGSTROM INT
8/13/18,84.1,AUSTIN-BERGSTROM INT
8/14/18,84.8,AUSTIN-BERGSTROM INT
8/15/18,86.2,AUSTIN-BERGSTROM INT
8/16/18,88.3,AUSTIN-BERGSTROM INT
8/17/18,87.3,AUSTIN-BERGSTROM INT
8/18/18,88.4,AUSTIN-BERGSTROM INT
8/19/18,88.2,AUSTIN-BERGSTROM INT
8/20/18,88.6,AUSTIN-BERGSTROM INT
8/21/18,89,AUSTIN-BERGSTROM INT
8/22/18,89,AUSTIN-BERGSTROM INT
8/23/18,89.2,AUSTIN-BERGSTROM INT
8/24/18,88.6,AUSTIN-BERGSTROM INT
8/25/18,87.9,AUSTIN-BERGSTROM INT
8/26/18,87.7,AUSTIN-BERGSTROM INT
8/27/18,88.1,AUSTIN-BERGSTROM INT
8/28/18,88.9,AUSTIN-BERGSTROM INT
8/29/18,87.6,AUSTIN-BERGSTROM INT
8/30/18,84.5,AUSTIN-BERGSTROM INT
9/1/18,85.3,AUSTIN-BERGSTROM INT
9/2/18,86.4,AUSTIN-BERGSTROM INT
9/3/18,81.6,AUSTIN-BERGSTROM INT
9/4/18,80.4,AUSTIN-BERGSTROM INT
9/5/18,82,AUSTIN-BERGSTROM INT
9/6/18,82,AUSTIN-BERGSTROM INT
9/7/18,80,AUSTIN-BERGSTROM INT
9/8/18,81.2,AUSTIN-BERGSTROM INT
9/9/18,76.5,AUSTIN-BERGSTROM INT
9/10/18,74.9,AUSTIN-BERGSTROM INT
9/11/18,76,AUSTIN-BERGSTROM INT
9/12/18,78.7,AUSTIN-BERGSTROM INT
9/13/18,79.7,AUSTIN-BERGSTROM INT
9/14/18,78.2,AUSTIN-BERGSTROM INT
9/15/18,78.2,AUSTIN-BERGSTROM INT
9/16/18,78,AUSTIN-BERGSTROM INT
9/17/18,79.7,AUSTIN-BERGSTROM INT
9/18/18,82.4,AUSTIN-BERGSTROM INT
9/19/18,80.6,AUSTIN-BERGSTROM INT
9/20/18,79.5,AUSTIN-BERGSTROM INT
9/21/18,81.1,AUSTIN-BERGSTROM INT
9/22/18,77.6,AUSTIN-BERGSTROM INT
9/23/18,72.5,AUSTIN-BERGSTROM INT
9/24/18,77.1,AUSTIN-BERGSTROM INT
9/25/18,81.7,AUSTIN-BERGSTROM INT
9/26/18,81.2,AUSTIN-BERGSTROM INT
9/27/18,71.2,AUSTIN-BERGSTROM INT
9/28/18,70.4,AUSTIN-BERGSTROM INT
9/29/18,76.5,AUSTIN-BERGSTROM INT
9/30/18,74.9,AUSTIN-BERGSTROM INT
10/1/18,75,AUSTIN-BERGSTROM INT
10/2/18,77.6,AUSTIN-BERGSTROM INT
10/3/18,80.5,AUSTIN-BERGSTROM INT
10/4/18,80.4,AUSTIN-BERGSTROM INT
10/5/18,81.4,AUSTIN-BERGSTROM INT
10/6/18,80.2,AUSTIN-BERGSTROM INT
10/7/18,79,AUSTIN-BERGSTROM INT
10/8/18,77.3,AUSTIN-BERGSTROM INT
10/9/18,75.7,AUSTIN-BERGSTROM INT
10/10/18,71.3,AUSTIN-BERGSTROM INT
10/11/18,67,AUSTIN-BERGSTROM INT
10/12/18,71.7,AUSTIN-BERGSTROM INT
10/13/18,80.2,AUSTIN-BERGSTROM INT
10/14/18,78.1,AUSTIN-BERGSTROM INT
10/15/18,58.6,AUSTIN-BERGSTROM INT
10/16/18,48.8,AUSTIN-BERGSTROM INT
10/17/18,54.4,AUSTIN-BERGSTROM INT
10/18/18,56.8,AUSTIN-BERGSTROM INT
10/19/18,62.4,AUSTIN-BERGSTROM INT
10/20/18,64.8,AUSTIN-BERGSTROM INT
10/21/18,64.6,AUSTIN-BERGSTROM INT
10/22/18,59.5,AUSTIN-BERGSTROM INT
10/23/18,59.1,AUSTIN-BERGSTROM INT
10/24/18,60.4,AUSTIN-BERGSTROM INT
10/25/18,61.8,AUSTIN-BERGSTROM INT
10/26/18,61.7,AUSTIN-BERGSTROM INT
10/27/18,65.8,AUSTIN-BERGSTROM INT
10/28/18,68.2,AUSTIN-BERGSTROM INT
10/29/18,66.9,AUSTIN-BERGSTROM INT
10/30/18,73.6,AUSTIN-BERGSTROM INT
10/31/18,74.3,AUSTIN-BERGSTROM INT
11/1/18,61.6,AUSTIN-BERGSTROM INT
11/2/18,57.3,AUSTIN-BERGSTROM INT
11/3/18,62.3,AUSTIN-BERGSTROM INT
11/4/18,66,AUSTIN-BERGSTROM INT
11/5/18,63.8,AUSTIN-BERGSTROM INT
11/6/18,67.8,AUSTIN-BERGSTROM INT
11/7/18,75.7,AUSTIN-BERGSTROM INT
11/8/18,63.5,AUSTIN-BERGSTROM INT
11/9/18,56.5,AUSTIN-BERGSTROM INT
11/10/18,51.4,AUSTIN-BERGSTROM INT
11/11/18,50.5,AUSTIN-BERGSTROM INT
11/12/18,49.9,AUSTIN-BERGSTROM INT
11/13/18,40.6,AUSTIN-BERGSTROM INT
11/14/18,39.7,AUSTIN-BERGSTROM INT
11/15/18,43.3,AUSTIN-BERGSTROM INT
11/16/18,49.1,AUSTIN-BERGSTROM INT
11/23/18,62,AUSTIN-BERGSTROM INT
11/24/18,56.9,AUSTIN-BERGSTROM INT
11/25/18,64,AUSTIN-BERGSTROM INT
11/26/18,51.1,AUSTIN-BERGSTROM INT
11/27/18,44.1,AUSTIN-BERGSTROM INT
11/28/18,55.1,AUSTIN-BERGSTROM INT
11/29/18,61,AUSTIN-BERGSTROM INT
11/30/18,69.7,AUSTIN-BERGSTROM INT
12/1/18,69.3,AUSTIN-BERGSTROM INT
12/2/18,56.3,AUSTIN-BERGSTROM INT
12/3/18,55.2,AUSTIN-BERGSTROM INT
12/4/18,47.8,AUSTIN-BERGSTROM INT
12/5/18,48,AUSTIN-BERGSTROM INT
12/6/18,53,AUSTIN-BERGSTROM INT
12/7/18,53.7,AUSTIN-BERGSTROM INT
12/8/18,47.1,AUSTIN-BERGSTROM INT
12/9/18,45,AUSTIN-BERGSTROM INT
12/10/18,45.1,AUSTIN-BERGSTROM INT
12/11/18,43.3,AUSTIN-BERGSTROM INT
12/12/18,55.2,AUSTIN-BERGSTROM INT
12/13/18,62.9,AUSTIN-BERGSTROM INT
12/14/18,48.1,AUSTIN-BERGSTROM INT
12/15/18,54.8,AUSTIN-BERGSTROM INT
12/16/18,46.1,AUSTIN-BERGSTROM INT
12/17/18,54.8,AUSTIN-BERGSTROM INT
12/18/18,46.7,AUSTIN-BERGSTROM INT
12/19/18,58.1,AUSTIN-BERGSTROM INT
12/20/18,56.8,AUSTIN-BERGSTROM INT
12/21/18,53.8,AUSTIN-BERGSTROM INT
12/22/18,54.4,AUSTIN-BERGSTROM INT
12/23/18,54.2,AUSTIN-BERGSTROM INT
12/24/18,46.1,AUSTIN-BERGSTROM INT
12/25/18,63.2,AUSTIN-BERGSTROM INT
12/26/18,67.3,AUSTIN-BERGSTROM INT
12/27/18,62.9,AUSTIN-BERGSTROM INT
12/28/18,48.8,AUSTIN-BERGSTROM INT
12/29/18,45.4,AUSTIN-BERGSTROM INT
12/30/18,41.9,AUSTIN-BERGSTROM INT
12/31/18,45.4,AUSTIN-BERGSTROM INT
8/31/18,84.4,AUSTIN-BERGSTROM INT
11/21/18,45,AUSTIN-BERGSTROM INT
11/22/18,54.3,AUSTIN-BERGSTROM INT
11/17/18,52.1,AUSTIN-BERGSTROM INT
11/18/18,56.5,AUSTIN-BERGSTROM INT
11/19/18,48.1,AUSTIN-BERGSTROM INT
11/20/18,51.6,AUSTIN-BERGSTROM INT
1/1/19,43.3,AUSTIN-BERGSTROM INT
1/2/19,39.4,AUSTIN-BERGSTROM INT
1/3/19,41.2,AUSTIN-BERGSTROM INT
1/4/19,44.1,AUSTIN-BERGSTROM INT
1/5/19,48.6,AUSTIN-BERGSTROM INT
1/6/19,48.8,AUSTIN-BERGSTROM INT
1/7/19,67.5,AUSTIN-BERGSTROM INT
1/8/19,63.8,AUSTIN-BERGSTROM INT
1/9/19,57.6,AUSTIN-BERGSTROM INT
